dtime,gen_fv,gen_wi,period,gen_jga,gen_jgo,ogr_mwe,dtime_utc,rez_under,period_utc,kse_pow_dem,capacity_jga,capacity_jgo,business_date,gen_jgm_zak_1,gen_jgm_zak_2,gen_jgw_zak_1,gen_jgw_zak_2,gen_jgz_zak_1,gen_jgz_zak_2,gen_jgz_zak_3,publication_ts,rez_over_demand,tot_jgm_char_pow,capacity_jgm_zak_1,capacity_jgm_zak_2,capacity_jgw_zak_1,capacity_jgw_zak_2,capacity_jgz_zak_1,capacity_jgz_zak_2,capacity_jgz_zak_3,gen_not_activ_part,publication_ts_utc,gen_jgw_jgm_jgz_jga,capacity_jgw_jgm_jgz_jga,dom_balance_exchange_par,dom_balance_exchange_non_par,suma_oze
2024-11-30 00:15:00,0.0,593.0,00:00 - 00:15,,,10026.0,2024-11-29 23:15:00,3160.0,23:00 - 23:15,17450.0,,,2024-11-30,0.0,,10414.0,,,,,2024-11-30 23:27:40.414,3120.0,0.0,98.0,,16810.0,,,,,4786.0,2024-11-30 22:27:40.414,10414.0,16908.0,1660.0,600.0,593.0
2024-11-30 00:30:00,0.0,561.0,00:15 - 00:30,,,9946.0,2024-11-29 23:30:00,3304.0,23:15 - 23:30,17300.0,,,2024-11-30,0.0,,10292.0,,,,,2024-11-30 23:27:40.414,2722.0,0.0,98.0,,16889.0,,,,,4758.0,2024-11-30 22:27:40.414,10292.0,16987.0,1660.0,600.0,561.0
2024-11-30 00:45:00,0.0,551.0,00:30 - 00:45,,,9871.0,2024-11-29 23:45:00,2714.0,23:30 - 23:45,16700.0,,,2024-11-30,0.0,,9702.0,,,,,2024-11-30 23:27:40.414,3327.0,0.0,98.0,,16964.0,,,,,4748.0,2024-11-30 22:27:40.414,9702.0,17062.0,1660.0,600.0,551.0
2024-11-30 01:00:00,0.0,552.0,00:45 - 01:00,,,10370.0,2024-11-30 00:00:00,2264.0,23:45 - 24:00,16250.0,,,2024-11-30,0.0,,9252.0,,,,,2024-11-30 23:27:40.414,3778.0,0.0,98.0,,16466.0,,,,,4748.0,2024-11-30 22:27:40.414,9252.0,16564.0,1660.0,600.0,552.0
2024-11-30 01:15:00,0.0,573.0,01:00 - 01:15,,,10439.0,2024-11-30 00:15:00,2560.0,00:00 - 00:15,16100.0,,,2024-11-30,0.0,,9548.0,,,,,2024-11-30 23:27:40.414,3342.0,0.0,98.0,,16396.0,,,,,4748.0,2024-11-30 22:27:40.414,9548.0,16495.0,1164.0,650.0,573.0
2024-11-30 01:30:00,0.0,585.0,01:15 - 01:30,,,10346.0,2024-11-30 00:30:00,2399.0,00:15 - 00:30,15950.0,,,2024-11-30,0.0,,9387.0,,,,,2024-11-30 23:27:40.414,3497.0,0.0,98.0,,16489.0,,,,,4759.0,2024-11-30 22:27:40.414,9387.0,16588.0,1164.0,650.0,585.0
2024-11-30 01:45:00,0.0,566.0,01:30 - 01:45,,,10256.0,2024-11-30 00:45:00,2268.0,00:30 - 00:45,15800.0,,,2024-11-30,0.0,,9256.0,,,,,2024-11-30 23:27:40.414,3628.0,0.0,98.0,,16579.0,,,,,4740.0,2024-11-30 22:27:40.414,9256.0,16678.0,1164.0,650.0,566.0
2024-11-30 02:00:00,0.0,561.0,01:45 - 02:00,,,11030.0,2024-11-30 01:00:00,2489.0,00:45 - 01:00,15850.0,,,2024-11-30,0.0,,9477.0,,,,,2024-11-30 23:27:40.414,3407.0,166.0,98.0,,15805.0,,,,,4735.0,2024-11-30 22:27:40.414,9477.0,15904.0,1164.0,650.0,561.0
2024-11-30 02:15:00,0.0,561.0,02:00 - 02:15,,,10767.0,2024-11-30 01:15:00,2315.0,01:00 - 01:15,15850.0,,,2024-11-30,0.0,,9309.0,,,,,2024-11-30 23:27:40.414,3581.0,166.0,98.0,,16068.0,,,,,4739.0,2024-11-30 22:27:40.414,9309.0,16167.0,1328.0,650.0,561.0
2024-11-30 02:30:00,0.0,550.0,02:15 - 02:30,,,10518.0,2024-11-30 01:30:00,2316.0,01:15 - 01:30,15850.0,,,2024-11-30,0.0,,9320.0,,,,,2024-11-30 23:27:40.414,3580.0,166.0,98.0,,16317.0,,,,,4728.0,2024-11-30 22:27:40.414,9320.0,16416.0,1328.0,650.0,550.0
