dtime,gen_fv,gen_wi,period,gen_jga,gen_jgo,ogr_mwe,dtime_utc,rez_under,period_utc,kse_pow_dem,capacity_jga,capacity_jgo,business_date,gen_jgm_zak_1,gen_jgm_zak_2,gen_jgw_zak_1,gen_jgw_zak_2,gen_jgz_zak_1,gen_jgz_zak_2,gen_jgz_zak_3,publication_ts,rez_over_demand,tot_jgm_char_pow,capacity_jgm_zak_1,capacity_jgm_zak_2,capacity_jgw_zak_1,capacity_jgw_zak_2,capacity_jgz_zak_1,capacity_jgz_zak_2,capacity_jgz_zak_3,gen_not_activ_part,publication_ts_utc,gen_jgw_jgm_jgz_jga,capacity_jgw_jgm_jgz_jga,dom_balance_exchange_par,dom_balance_exchange_non_par
2025-07-19 00:15:00,0.0,637.0,00:00 - 00:15,,,10611.0,2025-07-18 22:15:00,3695.0,22:00 - 22:15,15450.0,,,2025-07-19,0.0,,10154.0,,,,,2025-07-19 13:20:06.702,2685.0,,714.0,,15014.0,,,,,3170.0,2025-07-19 11:20:06.702,10154.0,15728.0,645.0,1477.0
2025-07-19 00:30:00,0.0,648.0,00:15 - 00:30,,,10611.0,2025-07-18 22:30:00,3746.0,22:15 - 22:30,15250.0,,,2025-07-19,0.0,,9937.0,,,,,2025-07-19 13:20:06.702,2232.0,,714.0,,15014.0,,,,,3182.0,2025-07-19 11:20:06.702,9937.0,15728.0,645.0,1486.0
2025-07-19 00:45:00,0.0,746.0,00:30 - 00:45,,,10485.0,2025-07-18 22:45:00,3455.0,22:30 - 22:45,15050.0,,,2025-07-19,0.0,,9646.0,,,,,2025-07-19 13:20:06.702,2523.0,,714.0,,15140.0,,,,,3280.0,2025-07-19 11:20:06.702,9646.0,15854.0,645.0,1485.0
2025-07-19 01:00:00,0.0,728.0,00:45 - 01:00,,,10820.0,2025-07-18 23:00:00,3525.0,22:45 - 23:00,14850.0,,,2025-07-19,0.0,,9716.0,,,,,2025-07-19 13:20:06.702,2453.0,,714.0,,14805.0,,,,,3261.0,2025-07-19 11:20:06.702,9716.0,15519.0,645.0,1473.0
2025-07-19 01:15:00,0.0,831.0,01:00 - 01:15,,,10797.0,2025-07-18 23:15:00,3564.0,23:00 - 23:15,14700.0,,,2025-07-19,0.0,,9755.0,,,,,2025-07-19 13:20:06.702,2437.0,,714.0,,14828.0,,,,,3336.0,2025-07-19 11:20:06.702,9755.0,15542.0,645.0,982.0
2025-07-19 01:30:00,0.0,804.0,01:15 - 01:30,,,10797.0,2025-07-18 23:30:00,3539.0,23:15 - 23:30,14600.0,,,2025-07-19,0.0,,9730.0,,,,,2025-07-19 13:20:06.702,2462.0,,714.0,,14828.0,,,,,3309.0,2025-07-19 11:20:06.702,9730.0,15542.0,645.0,946.0
2025-07-19 01:45:00,0.0,839.0,01:30 - 01:45,,,10710.0,2025-07-18 23:45:00,3321.0,23:30 - 23:45,14400.0,,,2025-07-19,0.0,,9512.0,,,,,2025-07-19 13:20:06.702,2680.0,,714.0,,14915.0,,,,,3369.0,2025-07-19 11:20:06.702,9512.0,15629.0,645.0,887.0
2025-07-19 02:00:00,0.0,844.0,01:45 - 02:00,,,10964.0,2025-07-19 00:00:00,3236.0,23:45 - 24:00,14250.0,,,2025-07-19,0.0,,9427.0,,,,,2025-07-19 13:20:06.702,2765.0,,714.0,,14661.0,,,,,3375.0,2025-07-19 11:20:06.702,9427.0,15375.0,645.0,862.0
2025-07-19 02:15:00,0.0,849.0,02:00 - 02:15,,,10944.0,2025-07-19 00:15:00,3322.0,00:00 - 00:15,14150.0,,,2025-07-19,0.0,,9513.0,,,,,2025-07-19 13:20:06.702,2679.0,,714.0,,14681.0,,,,,3261.0,2025-07-19 11:20:06.702,9513.0,15395.0,645.0,743.0
2025-07-19 02:30:00,0.0,871.0,02:15 - 02:30,,,10919.0,2025-07-19 00:30:00,3274.0,00:15 - 00:30,14100.0,,,2025-07-19,0.0,,9465.0,,,,,2025-07-19 13:20:06.702,2727.0,,714.0,,14706.0,,,,,3283.0,2025-07-19 11:20:06.702,9465.0,15420.0,645.0,720.0
2025-07-19 02:45:00,0.0,825.0,02:30 - 02:45,,,10796.0,2025-07-19 00:45:00,3248.0,00:30 - 00:45,14050.0,,,2025-07-19,0.0,,9439.0,,,,,2025-07-19 13:20:06.702,2753.0,,714.0,,14829.0,,,,,3237.0,2025-07-19 11:20:06.702,9439.0,15543.0,645.0,694.0
2025-07-19 03:00:00,0.0,858.0,02:45 - 03:00,,,12893.0,2025-07-19 01:00:00,3197.0,00:45 - 01:00,14100.0,,,2025-07-19,0.0,,9388.0,,,,,2025-07-19 13:20:06.702,2804.0,,714.0,,12732.0,,,,,3270.0,2025-07-19 11:20:06.702,9388.0,13446.0,645.0,765.0
2025-07-19 03:15:00,0.0,826.0,03:00 - 03:15,,,12731.0,2025-07-19 01:15:00,3213.0,01:00 - 01:15,14050.0,,,2025-07-19,0.0,,9404.0,,,,,2025-07-19 13:20:06.702,2793.0,,714.0,,12894.0,,,,,3170.0,2025-07-19 11:20:06.702,9404.0,13608.0,645.0,830.0
2025-07-19 03:30:00,0.0,851.0,03:15 - 03:30,,,12611.0,2025-07-19 01:30:00,3137.0,01:15 - 01:30,14000.0,,,2025-07-19,0.0,,9328.0,,,,,2025-07-19 13:20:06.702,2869.0,,714.0,,13014.0,,,,,3194.0,2025-07-19 11:20:06.702,9328.0,13728.0,645.0,833.0
2025-07-19 03:45:00,0.0,800.0,03:30 - 03:45,,,12346.0,2025-07-19 01:45:00,3129.0,01:30 - 01:45,13950.0,,,2025-07-19,0.0,,9320.0,,,,,2025-07-19 13:20:06.702,2877.0,,714.0,,13279.0,,,,,3144.0,2025-07-19 11:20:06.702,9320.0,13992.0,645.0,834.0
2025-07-19 04:00:00,0.0,830.0,03:45 - 04:00,,,12751.0,2025-07-19 02:00:00,3149.0,01:45 - 02:00,13850.0,,,2025-07-19,0.0,,9340.0,,,,,2025-07-19 13:20:06.702,2857.0,,714.0,,12874.0,,,,,3174.0,2025-07-19 11:20:06.702,9340.0,13587.0,645.0,848.0
2025-07-19 04:15:00,0.0,833.0,04:00 - 04:15,,,12511.0,2025-07-19 02:15:00,3369.0,02:00 - 02:15,13750.0,,,2025-07-19,0.0,,9431.0,,,,,2025-07-19 13:20:06.702,2555.0,,714.0,,13114.0,,,,,3141.0,2025-07-19 11:20:06.702,9431.0,13828.0,645.0,533.0
2025-07-19 04:30:00,0.0,855.0,04:15 - 04:30,,,12343.0,2025-07-19 02:30:00,3198.0,02:15 - 02:30,13600.0,,,2025-07-19,0.0,,9260.0,,,,,2025-07-19 13:20:06.702,2726.0,,714.0,,13283.0,,,,,3163.0,2025-07-19 11:20:06.702,9260.0,13996.0,645.0,533.0
2025-07-19 04:45:00,0.0,825.0,04:30 - 04:45,,,11703.0,2025-07-19 02:45:00,3283.0,02:30 - 02:45,13650.0,,,2025-07-19,0.0,,9345.0,,,,,2025-07-19 13:20:06.702,2641.0,,714.0,,13922.0,,,,,3133.0,2025-07-19 11:20:06.702,9345.0,14635.0,645.0,532.0
2025-07-19 05:00:00,12.0,856.0,04:45 - 05:00,,,12668.0,2025-07-19 03:00:00,3429.0,02:45 - 03:00,13550.0,,,2025-07-19,0.0,,9491.0,,,,,2025-07-19 13:20:06.702,2495.0,,714.0,,12957.0,,,,,3176.0,2025-07-19 11:20:06.702,9491.0,13671.0,645.0,522.0
2025-07-19 05:15:00,64.0,841.0,05:00 - 05:15,,,12463.0,2025-07-19 03:15:00,3476.0,03:00 - 03:15,13350.0,,,2025-07-19,0.0,,9538.0,,,,,2025-07-19 13:20:06.702,2448.0,,714.0,,13162.0,,,,,3208.0,2025-07-19 11:20:06.702,9538.0,13876.0,645.0,-46.0
2025-07-19 05:30:00,191.0,846.0,05:15 - 05:30,,,11968.0,2025-07-19 03:30:00,3262.0,03:15 - 03:30,13250.0,,,2025-07-19,0.0,,9324.0,,,,,2025-07-19 13:20:06.702,2662.0,,714.0,,13658.0,,,,,3344.0,2025-07-19 11:20:06.702,9324.0,14371.0,645.0,-37.0
2025-07-19 05:45:00,354.0,819.0,05:30 - 05:45,,,11723.0,2025-07-19 03:45:00,3188.0,03:30 - 03:45,13300.0,,,2025-07-19,0.0,,9250.0,,,,,2025-07-19 13:20:06.702,2736.0,,714.0,,13902.0,,,,,3481.0,2025-07-19 11:20:06.702,9250.0,14615.0,645.0,-89.0
2025-07-19 06:00:00,554.0,804.0,05:45 - 06:00,,,12655.0,2025-07-19 04:00:00,3225.0,03:45 - 04:00,13450.0,,,2025-07-19,13.0,,9287.0,,,,,2025-07-19 13:20:06.702,2699.0,,727.0,,12957.0,,,,,3664.0,2025-07-19 11:20:06.702,9300.0,13684.0,645.0,-63.0
2025-07-19 06:15:00,775.0,876.0,06:00 - 06:15,,,12460.0,2025-07-19 04:15:00,3440.0,04:00 - 04:15,13900.0,,,2025-07-19,13.0,,9502.0,,,,,2025-07-19 13:20:06.702,2474.0,,727.0,,13152.0,,,,,3975.0,2025-07-19 11:20:06.702,9515.0,13879.0,645.0,-255.0
2025-07-19 06:30:00,1046.0,828.0,06:15 - 06:30,,,11965.0,2025-07-19 04:30:00,3486.0,04:15 - 04:30,14250.0,,,2025-07-19,13.0,,9548.0,,,,,2025-07-19 13:20:06.702,2428.0,,727.0,,13648.0,,,,,4201.0,2025-07-19 11:20:06.702,9561.0,14374.0,645.0,-215.0
2025-07-19 06:45:00,1141.0,808.0,06:30 - 06:45,,,11720.0,2025-07-19 04:45:00,3433.0,04:30 - 04:45,14400.0,,,2025-07-19,13.0,,9495.0,,,,,2025-07-19 13:20:06.702,2481.0,,727.0,,13892.0,,,,,4276.0,2025-07-19 11:20:06.702,9508.0,14618.0,645.0,-99.0
