dtime,gen_fv,gen_wi,period,gen_jga,gen_jgo,ogr_mwe,dtime_utc,rez_under,period_utc,kse_pow_dem,capacity_jga,capacity_jgo,business_date,gen_jgm_zak_1,gen_jgm_zak_2,gen_jgw_zak_1,gen_jgw_zak_2,gen_jgz_zak_1,gen_jgz_zak_2,gen_jgz_zak_3,publication_ts,rez_over_demand,tot_jgm_char_pow,capacity_jgm_zak_1,capacity_jgm_zak_2,capacity_jgw_zak_1,capacity_jgw_zak_2,capacity_jgz_zak_1,capacity_jgz_zak_2,capacity_jgz_zak_3,gen_not_activ_part,publication_ts_utc,gen_jgw_jgm_jgz_jga,capacity_jgw_jgm_jgz_jga,dom_balance_exchange_par,dom_balance_exchange_non_par
2025-07-20 00:15:00,0.0,919.0,00:00 - 00:15,,,3714.0,2025-07-19 22:15:00,3688.0,22:00 - 22:15,13750.0,,,2025-07-20,0.0,,9196.0,,,,,2025-07-19 19:39:45.549,1860.0,,1395.0,,21230.0,,,,,3317.0,2025-07-19 17:39:45.549,9196.0,22625.0,645.0,542.0
2025-07-20 00:30:00,0.0,898.0,00:15 - 00:30,,,3714.0,2025-07-19 22:30:00,3469.0,22:15 - 22:30,13550.0,,,2025-07-20,0.0,,8977.0,,,,,2025-07-19 19:39:45.549,2079.0,,1395.0,,21230.0,,,,,3295.0,2025-07-19 17:39:45.549,8977.0,22625.0,645.0,561.0
2025-07-20 00:45:00,0.0,890.0,00:30 - 00:45,,,3714.0,2025-07-19 22:45:00,3325.0,22:30 - 22:45,13400.0,,,2025-07-20,0.0,,8833.0,,,,,2025-07-19 19:39:45.549,2223.0,,1395.0,,21230.0,,,,,3287.0,2025-07-19 17:39:45.549,8833.0,22625.0,645.0,562.0
2025-07-20 01:00:00,0.0,874.0,00:45 - 01:00,,,3714.0,2025-07-19 23:00:00,3138.0,22:45 - 23:00,13200.0,,,2025-07-20,0.0,,8646.0,,,,,2025-07-19 19:39:45.549,2410.0,,1395.0,,21230.0,,,,,3272.0,2025-07-19 17:39:45.549,8646.0,22625.0,645.0,562.0
2025-07-20 01:15:00,0.0,855.0,01:00 - 01:15,,,3710.0,2025-07-19 23:15:00,3155.0,23:00 - 23:15,13100.0,,,2025-07-20,0.0,,8663.0,,,,,2025-07-19 19:39:45.549,2395.0,,1395.0,,21234.0,,,,,3194.0,2025-07-19 17:39:45.549,8663.0,22629.0,645.0,518.0
2025-07-20 01:30:00,0.0,849.0,01:15 - 01:30,,,3710.0,2025-07-19 23:30:00,3009.0,23:15 - 23:30,12950.0,,,2025-07-20,0.0,,8517.0,,,,,2025-07-19 19:39:45.549,2541.0,,1395.0,,21234.0,,,,,3187.0,2025-07-19 17:39:45.549,8517.0,22629.0,645.0,524.0
2025-07-20 01:45:00,0.0,825.0,01:30 - 01:45,,,3710.0,2025-07-19 23:45:00,2883.0,23:30 - 23:45,12800.0,,,2025-07-20,0.0,,8391.0,,,,,2025-07-19 19:39:45.549,2667.0,,1395.0,,21234.0,,,,,3164.0,2025-07-19 17:39:45.549,8391.0,22629.0,645.0,521.0
2025-07-20 02:00:00,0.0,815.0,01:45 - 02:00,,,3710.0,2025-07-20 00:00:00,2799.0,23:45 - 24:00,12700.0,,,2025-07-20,0.0,,8307.0,,,,,2025-07-19 19:39:45.549,2751.0,,1395.0,,21234.0,,,,,3154.0,2025-07-19 17:39:45.549,8307.0,22629.0,645.0,528.0
2025-07-20 02:15:00,0.0,813.0,02:00 - 02:15,,,3690.0,2025-07-20 00:15:00,2762.0,00:00 - 00:15,12600.0,,,2025-07-20,0.0,,8270.0,,,,,2025-07-19 19:39:45.549,2798.0,,1395.0,,21254.0,,,,,3158.0,2025-07-19 17:39:45.549,8270.0,22649.0,645.0,473.0
2025-07-20 02:30:00,0.0,790.0,02:15 - 02:30,,,3690.0,2025-07-20 00:30:00,2746.0,00:15 - 00:30,12550.0,,,2025-07-20,0.0,,8254.0,,,,,2025-07-19 19:39:45.549,2814.0,,1395.0,,21254.0,,,,,3135.0,2025-07-19 17:39:45.549,8254.0,22649.0,645.0,473.0
2025-07-20 02:45:00,0.0,766.0,02:30 - 02:45,,,3690.0,2025-07-20 00:45:00,2708.0,00:30 - 00:45,12500.0,,,2025-07-20,0.0,,8216.0,,,,,2025-07-19 19:39:45.549,2852.0,,1395.0,,21254.0,,,,,3111.0,2025-07-19 17:39:45.549,8216.0,22649.0,645.0,491.0
2025-07-20 03:00:00,0.0,762.0,02:45 - 03:00,,,3690.0,2025-07-20 01:00:00,2668.0,00:45 - 01:00,12450.0,,,2025-07-20,0.0,,8176.0,,,,,2025-07-19 19:39:45.549,2892.0,,1395.0,,21254.0,,,,,3107.0,2025-07-19 17:39:45.549,8176.0,22649.0,645.0,506.0
2025-07-20 03:15:00,0.0,743.0,03:00 - 03:15,,,3690.0,2025-07-20 01:15:00,2344.0,01:00 - 01:15,12450.0,,,2025-07-20,0.0,,7852.0,,,,,2025-07-19 19:39:45.549,3216.0,,1395.0,,21254.0,,,,,3084.0,2025-07-19 17:39:45.549,7852.0,22649.0,645.0,852.0
2025-07-20 03:30:00,0.0,728.0,03:15 - 03:30,,,3690.0,2025-07-20 01:30:00,2240.0,01:15 - 01:30,12350.0,,,2025-07-20,0.0,,7748.0,,,,,2025-07-19 19:39:45.549,3320.0,,1395.0,,21254.0,,,,,3070.0,2025-07-19 17:39:45.549,7748.0,22649.0,645.0,867.0
2025-07-20 03:45:00,0.0,710.0,03:30 - 03:45,,,3690.0,2025-07-20 01:45:00,2147.0,01:30 - 01:45,12250.0,,,2025-07-20,0.0,,7655.0,,,,,2025-07-19 19:39:45.549,3413.0,,1395.0,,21254.0,,,,,3052.0,2025-07-19 17:39:45.549,7655.0,22649.0,645.0,882.0
2025-07-20 04:00:00,0.0,696.0,03:45 - 04:00,,,3690.0,2025-07-20 02:00:00,2113.0,01:45 - 02:00,12200.0,,,2025-07-20,0.0,,7621.0,,,,,2025-07-19 19:39:45.549,3447.0,,1395.0,,21254.0,,,,,3037.0,2025-07-19 17:39:45.549,7621.0,22649.0,645.0,897.0
2025-07-20 04:15:00,0.0,695.0,04:00 - 04:15,,,3695.0,2025-07-20 02:15:00,2564.0,02:00 - 02:15,12100.0,,,2025-07-20,0.0,,8072.0,,,,,2025-07-19 19:39:45.549,2991.0,,1395.0,,21249.0,,,,,3038.0,2025-07-19 17:39:45.549,8072.0,22644.0,645.0,360.0
2025-07-20 04:30:00,0.0,670.0,04:15 - 04:30,,,3695.0,2025-07-20 02:30:00,2483.0,02:15 - 02:30,12000.0,,,2025-07-20,0.0,,7991.0,,,,,2025-07-19 19:39:45.549,3072.0,,1395.0,,21249.0,,,,,3012.0,2025-07-19 17:39:45.549,7991.0,22644.0,645.0,370.0
2025-07-20 04:45:00,0.0,647.0,04:30 - 04:45,,,3695.0,2025-07-20 02:45:00,2407.0,02:30 - 02:45,11900.0,,,2025-07-20,0.0,,7915.0,,,,,2025-07-19 19:39:45.549,3148.0,,1395.0,,21249.0,,,,,2990.0,2025-07-19 17:39:45.549,7915.0,22644.0,645.0,372.0
2025-07-20 05:00:00,26.0,631.0,04:45 - 05:00,,,3695.0,2025-07-20 03:00:00,2214.0,02:45 - 03:00,11750.0,,,2025-07-20,0.0,,7722.0,,,,,2025-07-19 19:39:45.549,3341.0,,1395.0,,21249.0,,,,,3000.0,2025-07-19 17:39:45.549,7722.0,22644.0,645.0,408.0
2025-07-20 05:15:00,137.0,614.0,05:00 - 05:15,,,3695.0,2025-07-20 03:15:00,2682.0,03:00 - 03:15,11700.0,,,2025-07-20,0.0,,8050.0,,,,,2025-07-19 19:39:45.549,2787.0,,1395.0,,21249.0,,,,,3095.0,2025-07-19 17:39:45.549,8050.0,22644.0,645.0,-71.0
2025-07-20 05:30:00,310.0,587.0,05:15 - 05:30,,,3695.0,2025-07-20 03:30:00,2508.0,03:15 - 03:30,11700.0,,,2025-07-20,0.0,,7876.0,,,,,2025-07-19 19:39:45.549,2961.0,,1395.0,,21249.0,,,,,3241.0,2025-07-19 17:39:45.549,7876.0,22644.0,645.0,-29.0
2025-07-20 05:45:00,529.0,564.0,05:30 - 05:45,,,3695.0,2025-07-20 03:45:00,2410.0,03:30 - 03:45,11800.0,,,2025-07-20,0.0,,7778.0,,,,,2025-07-19 19:39:45.549,3059.0,,1395.0,,21249.0,,,,,3437.0,2025-07-19 17:39:45.549,7778.0,22644.0,645.0,-18.0
2025-07-20 06:00:00,781.0,536.0,05:45 - 06:00,,,3695.0,2025-07-20 04:00:00,2273.0,03:45 - 04:00,11900.0,,,2025-07-20,0.0,,7641.0,,,,,2025-07-19 19:39:45.549,3196.0,,1395.0,,21249.0,,,,,3661.0,2025-07-19 17:39:45.549,7641.0,22644.0,645.0,-5.0
2025-07-20 06:15:00,1051.0,512.0,06:00 - 06:15,,,3695.0,2025-07-20 04:15:00,2197.0,04:00 - 04:15,12100.0,,,2025-07-20,0.0,,7565.0,,,,,2025-07-19 19:39:45.549,3272.0,,1395.0,,21249.0,,,,,3858.0,2025-07-19 17:39:45.549,7565.0,22644.0,645.0,74.0
2025-07-20 06:30:00,1338.0,462.0,06:15 - 06:30,,,3695.0,2025-07-20 04:30:00,2201.0,04:15 - 04:30,12350.0,,,2025-07-20,0.0,,7569.0,,,,,2025-07-19 19:39:45.549,3268.0,,1395.0,,21249.0,,,,,4096.0,2025-07-19 17:39:45.549,7569.0,22644.0,645.0,83.0
2025-07-20 06:45:00,1658.0,413.0,06:30 - 06:45,,,3695.0,2025-07-20 04:45:00,2006.0,04:30 - 04:45,12450.0,,,2025-07-20,0.0,,7374.0,,,,,2025-07-19 19:39:45.549,3463.0,,1395.0,,21249.0,,,,,4367.0,2025-07-19 17:39:45.549,7374.0,22644.0,645.0,98.0
