data,kwadrans,sk_d1_fcst,sk_d_fcst,sk_cost,dtime,dtime_utc,period,period_utc,business_date,publication_ts,publication_ts_utc
2024-06-22,00:00 - 00:15,-31.644,-170.097,-183.88,2024-06-22 00:15:00,2024-06-21 22:15:00,00:00 - 00:15,22:00 - 22:15,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,00:15 - 00:30,-64.573,-211.484,-217.566,2024-06-22 00:30:00,2024-06-21 22:30:00,00:15 - 00:30,22:15 - 22:30,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,00:30 - 00:45,13.676,-137.279,-145.982,2024-06-22 00:45:00,2024-06-21 22:45:00,00:30 - 00:45,22:30 - 22:45,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,00:45 - 01:00,32.3,-126.329,-126.416,2024-06-22 01:00:00,2024-06-21 23:00:00,00:45 - 01:00,22:45 - 23:00,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,01:00 - 01:15,-3.837,-254.513,-272.394,2024-06-22 01:15:00,2024-06-21 23:15:00,01:00 - 01:15,23:00 - 23:15,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,01:15 - 01:30,-57.598,-217.702,-219.021,2024-06-22 01:30:00,2024-06-21 23:30:00,01:15 - 01:30,23:15 - 23:30,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,01:30 - 01:45,-41.098,-220.331,-222.375,2024-06-22 01:45:00,2024-06-21 23:45:00,01:30 - 01:45,23:30 - 23:45,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,01:45 - 02:00,-22.17,-226.014,-233.782,2024-06-22 02:00:00,2024-06-22 00:00:00,01:45 - 02:00,23:45 - 24:00,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,02:00 - 02:15,-23.992,-237.407,-243.722,2024-06-22 02:15:00,2024-06-22 00:15:00,02:00 - 02:15,00:00 - 00:15,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,02:15 - 02:30,-35.742,-246.784,-248.64,2024-06-22 02:30:00,2024-06-22 00:30:00,02:15 - 02:30,00:15 - 00:30,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,02:30 - 02:45,-30.742,-307.706,-307.48,2024-06-22 02:45:00,2024-06-22 00:45:00,02:30 - 02:45,00:30 - 00:45,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,02:45 - 03:00,-24.851,-313.082,-309.755,2024-06-22 03:00:00,2024-06-22 01:00:00,02:45 - 03:00,00:45 - 01:00,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,03:00 - 03:15,5.415,-285.053,-285.644,2024-06-22 03:15:00,2024-06-22 01:15:00,03:00 - 03:15,01:00 - 01:15,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,03:15 - 03:30,19.912,-290.22,-297.434,2024-06-22 03:30:00,2024-06-22 01:30:00,03:15 - 03:30,01:15 - 01:30,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,03:30 - 03:45,24.164,-276.157,-276.123,2024-06-22 03:45:00,2024-06-22 01:45:00,03:30 - 03:45,01:30 - 01:45,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
2024-06-22,03:45 - 04:00,29.039,-270.236,-262.052,2024-06-22 04:00:00,2024-06-22 02:00:00,03:45 - 04:00,01:45 - 02:00,2024-06-22,2025-02-16 10:51:10.689,2025-02-16 09:51:10.689
