dtime,gen_fv,gen_wi,period,gen_jga,gen_jgo,ogr_mwe,dtime_utc,rez_under,period_utc,kse_pow_dem,capacity_jga,capacity_jgo,business_date,gen_jgm_zak_1,gen_jgm_zak_2,gen_jgw_zak_1,gen_jgw_zak_2,gen_jgz_zak_1,gen_jgz_zak_2,gen_jgz_zak_3,publication_ts,rez_over_demand,tot_jgm_char_pow,capacity_jgm_zak_1,capacity_jgm_zak_2,capacity_jgw_zak_1,capacity_jgw_zak_2,capacity_jgz_zak_1,capacity_jgz_zak_2,capacity_jgz_zak_3,gen_not_activ_part,publication_ts_utc,gen_jgw_jgm_jgz_jga,capacity_jgw_jgm_jgz_jga,dom_balance_exchange_par,dom_balance_exchange_non_par,sume_oze
2024-11-08 00:15:00,0.0,191.0,00:00 - 00:15,,,6500.0,2024-11-07 23:15:00,2436.0,23:00 - 23:15,16800.0,,,2024-11-08,0.0,,11460.0,,,,,2024-11-07 15:35:50.384,5561.0,272.0,1065.0,,19368.0,,,,,3893.0,2024-11-07 14:35:50.384,11460.0,20434.0,550.0,1159.0,191.0
2024-11-08 00:30:00,0.0,193.0,00:15 - 00:30,,,6500.0,2024-11-07 23:30:00,2234.0,23:15 - 23:30,16600.0,,,2024-11-08,0.0,,11258.0,,,,,2024-11-07 15:35:50.384,5762.0,272.0,1065.0,,19368.0,,,,,3895.0,2024-11-07 14:35:50.384,11258.0,20434.0,550.0,1159.0,193.0
2024-11-08 00:45:00,0.0,195.0,00:30 - 00:45,,,6500.0,2024-11-07 23:45:00,2083.0,23:30 - 23:45,16450.0,,,2024-11-08,0.0,,11107.0,,,,,2024-11-07 15:35:50.384,5913.0,272.0,1065.0,,19368.0,,,,,3896.0,2024-11-07 14:35:50.384,11107.0,20434.0,550.0,1159.0,195.0
2024-11-08 01:00:00,0.0,197.0,00:45 - 01:00,,,6500.0,2024-11-08 00:00:00,2013.0,23:45 - 24:00,16350.0,,,2024-11-08,0.0,,11037.0,,,,,2024-11-07 15:35:50.384,5983.0,304.0,1065.0,,19368.0,,,,,3898.0,2024-11-07 14:35:50.384,11037.0,20434.0,550.0,1159.0,197.0
2024-11-08 01:15:00,0.0,198.0,01:00 - 01:15,,,6600.0,2024-11-08 00:15:00,2305.0,00:00 - 00:15,16250.0,,,2024-11-08,0.0,,11017.0,,,,,2024-11-07 15:35:50.384,5336.0,368.0,1065.0,,19268.0,,,,,3886.0,2024-11-07 14:35:50.384,11017.0,20334.0,600.0,1105.0,198.0
2024-11-08 01:30:00,0.0,201.0,01:15 - 01:30,,,6600.0,2024-11-08 00:30:00,2153.0,00:15 - 00:30,16100.0,,,2024-11-08,0.0,,10865.0,,,,,2024-11-07 15:35:50.384,5488.0,368.0,1065.0,,19268.0,,,,,3888.0,2024-11-07 14:35:50.384,10865.0,20334.0,600.0,1105.0,201.0
2024-11-08 01:45:00,0.0,203.0,01:30 - 01:45,,,6600.0,2024-11-08 00:45:00,2097.0,00:30 - 00:45,16050.0,,,2024-11-08,0.0,,10812.0,,,,,2024-11-07 15:35:50.384,5544.0,368.0,1065.0,,19268.0,,,,,3891.0,2024-11-07 14:35:50.384,10812.0,20334.0,600.0,1105.0,203.0
2024-11-08 02:00:00,0.0,206.0,01:45 - 02:00,,,6600.0,2024-11-08 01:00:00,2178.0,00:45 - 01:00,15950.0,,,2024-11-08,0.0,,10898.0,,,,,2024-11-07 15:35:50.384,5463.0,557.0,1065.0,,19268.0,,,,,3894.0,2024-11-07 14:35:50.384,10898.0,20334.0,600.0,1105.0,206.0
2024-11-08 02:15:00,0.0,213.0,02:00 - 02:15,,,6600.0,2024-11-08 01:15:00,2204.0,01:00 - 01:15,15950.0,,,2024-11-08,0.0,,10929.0,,,,,2024-11-07 15:35:50.384,5437.0,557.0,1065.0,,19268.0,,,,,3896.0,2024-11-07 14:35:50.384,10929.0,20334.0,600.0,1072.0,213.0
2024-11-08 02:30:00,0.0,219.0,02:15 - 02:30,,,6600.0,2024-11-08 01:30:00,2193.0,01:15 - 01:30,15950.0,,,2024-11-08,0.0,,10923.0,,,,,2024-11-07 15:35:50.384,5448.0,557.0,1065.0,,19268.0,,,,,3902.0,2024-11-07 14:35:50.384,10923.0,20334.0,600.0,1072.0,219.0
2024-11-08 02:45:00,0.0,224.0,02:30 - 02:45,,,6600.0,2024-11-08 01:45:00,2182.0,01:30 - 01:45,15950.0,,,2024-11-08,0.0,,10917.0,,,,,2024-11-07 15:35:50.384,5459.0,557.0,1065.0,,19268.0,,,,,3908.0,2024-11-07 14:35:50.384,10917.0,20334.0,600.0,1072.0,224.0
2024-11-08 03:00:00,0.0,230.0,02:45 - 03:00,,,6600.0,2024-11-08 02:00:00,2172.0,01:45 - 02:00,15950.0,,,2024-11-08,0.0,,10911.0,,,,,2024-11-07 15:35:50.384,5469.0,557.0,1065.0,,19268.0,,,,,3914.0,2024-11-07 14:35:50.384,10911.0,20334.0,600.0,1072.0,230.0
2024-11-08 03:15:00,0.0,239.0,03:00 - 03:15,,,6600.0,2024-11-08 02:15:00,2098.0,02:00 - 02:15,15950.0,,,2024-11-08,0.0,,10848.0,,,,,2024-11-07 15:35:50.384,5543.0,557.0,1065.0,,19268.0,,,,,3945.0,2024-11-07 14:35:50.384,10848.0,20334.0,600.0,1104.0,239.0
2024-11-08 03:30:00,0.0,248.0,03:15 - 03:30,,,6600.0,2024-11-08 02:30:00,2079.0,02:15 - 02:30,15950.0,,,2024-11-08,0.0,,10839.0,,,,,2024-11-07 15:35:50.384,5562.0,557.0,1065.0,,19268.0,,,,,3954.0,2024-11-07 14:35:50.384,10839.0,20334.0,600.0,1104.0,248.0
2024-11-08 03:45:00,0.0,257.0,03:30 - 03:45,,,6600.0,2024-11-08 02:45:00,2110.0,02:30 - 02:45,16000.0,,,2024-11-08,0.0,,10880.0,,,,,2024-11-07 15:35:50.384,5531.0,557.0,1065.0,,19268.0,,,,,3963.0,2024-11-07 14:35:50.384,10880.0,20334.0,600.0,1104.0,257.0
2024-11-08 04:00:00,0.0,266.0,03:45 - 04:00,,,6600.0,2024-11-08 03:00:00,2186.0,02:45 - 03:00,16100.0,,,2024-11-08,0.0,,10970.0,,,,,2024-11-07 15:35:50.384,5455.0,557.0,1065.0,,19268.0,,,,,3973.0,2024-11-07 14:35:50.384,10970.0,20334.0,600.0,1104.0,266.0
2024-11-08 04:15:00,0.0,275.0,04:00 - 04:15,,,6600.0,2024-11-08 03:15:00,2455.0,03:00 - 03:15,16200.0,,,2024-11-08,0.0,,11257.0,,,,,2024-11-07 15:35:50.384,5186.0,336.0,1065.0,,19268.0,,,,,3979.0,2024-11-07 14:35:50.384,11257.0,20334.0,492.0,798.0,275.0
2024-11-08 04:30:00,0.0,283.0,04:15 - 04:30,,,6600.0,2024-11-08 03:30:00,2630.0,03:15 - 03:30,16400.0,,,2024-11-08,0.0,,11449.0,,,,,2024-11-07 15:35:50.384,5011.0,336.0,1065.0,,19268.0,,,,,3987.0,2024-11-07 14:35:50.384,11449.0,20334.0,492.0,798.0,283.0
2024-11-08 04:45:00,0.0,292.0,04:30 - 04:45,,,6600.0,2024-11-08 03:45:00,2812.0,03:30 - 03:45,16600.0,,,2024-11-08,0.0,,11640.0,,,,,2024-11-07 15:35:50.384,4829.0,336.0,1065.0,,19268.0,,,,,3996.0,2024-11-07 14:35:50.384,11640.0,20334.0,492.0,798.0,292.0
2024-11-08 05:00:00,0.0,301.0,04:45 - 05:00,,,6600.0,2024-11-08 04:00:00,2816.0,03:45 - 04:00,16800.0,,,2024-11-08,0.0,,11831.0,,,,,2024-11-07 15:35:50.384,4826.0,336.0,1065.0,,19268.0,,,,,4005.0,2024-11-07 14:35:50.384,11831.0,20334.0,492.0,798.0,301.0
2024-11-08 05:15:00,0.0,310.0,05:00 - 05:15,,,6600.0,2024-11-08 04:15:00,3301.0,04:00 - 04:15,17200.0,,,2024-11-08,0.0,,12526.0,,,,,2024-11-07 15:35:50.384,4425.0,336.0,1065.0,,19268.0,,,,,4019.0,2024-11-07 14:35:50.384,12526.0,20334.0,509.0,473.0,310.0
2024-11-08 05:30:00,0.0,319.0,05:15 - 05:30,,,6600.0,2024-11-08 04:30:00,3595.0,04:15 - 04:30,17550.0,,,2024-11-08,0.0,,12867.0,,,,,2024-11-07 15:35:50.384,4532.0,336.0,1065.0,,19268.0,,,,,4028.0,2024-11-07 14:35:50.384,12867.0,20334.0,509.0,473.0,319.0
2024-11-08 05:45:00,0.0,329.0,05:30 - 05:45,,,6600.0,2024-11-08 04:45:00,3903.0,04:30 - 04:45,17900.0,,,2024-11-08,0.0,,13208.0,,,,,2024-11-07 15:35:50.384,4224.0,336.0,1065.0,,19268.0,,,,,4037.0,2024-11-07 14:35:50.384,13208.0,20334.0,509.0,473.0,329.0
2024-11-08 06:00:00,0.0,338.0,05:45 - 06:00,,,6600.0,2024-11-08 05:00:00,4420.0,04:45 - 05:00,18450.0,,,2024-11-08,0.0,,13748.0,,,,,2024-11-07 15:35:50.384,3708.0,336.0,1065.0,,19268.0,,,,,4047.0,2024-11-07 14:35:50.384,13748.0,20334.0,509.0,473.0,338.0
2024-11-08 06:15:00,3.0,346.0,06:00 - 06:15,,,6180.0,2024-11-08 05:15:00,5216.0,05:00 - 05:15,19600.0,,,2024-11-08,0.0,,14568.0,,,,,2024-11-07 15:35:50.384,3011.0,0.0,1065.0,,19688.0,,,,,4174.0,2024-11-07 14:35:50.384,14568.0,20754.0,432.0,417.0,349.0
2024-11-08 06:30:00,3.0,353.0,06:15 - 06:30,,,6180.0,2024-11-08 05:30:00,5798.0,05:15 - 05:30,20200.0,,,2024-11-08,0.0,,15161.0,,,,,2024-11-07 15:35:50.384,2429.0,0.0,1065.0,,19688.0,,,,,4181.0,2024-11-07 14:35:50.384,15161.0,20754.0,432.0,417.0,356.0
2024-11-08 06:45:00,14.0,360.0,06:30 - 06:45,,,6180.0,2024-11-08 05:45:00,6330.0,05:30 - 05:45,20750.0,,,2024-11-08,0.0,,15693.0,,,,,2024-11-07 15:35:50.384,2059.0,0.0,1065.0,,19688.0,,,,,4199.0,2024-11-07 14:35:50.384,15693.0,20754.0,432.0,417.0,374.0
2024-11-08 07:00:00,63.0,367.0,06:45 - 07:00,,,6180.0,2024-11-08 06:00:00,6674.0,05:45 - 06:00,21150.0,,,2024-11-08,0.0,,16037.0,,,,,2024-11-07 15:35:50.384,1715.0,0.0,1065.0,,19688.0,,,,,4255.0,2024-11-07 14:35:50.384,16037.0,20754.0,432.0,417.0,430.0
2024-11-08 07:15:00,175.0,377.0,07:00 - 07:15,,,6185.0,2024-11-08 06:15:00,6548.0,06:00 - 06:15,21800.0,,,2024-11-08,108.0,,15847.0,,,,,2024-11-07 15:35:50.384,1755.0,0.0,1065.0,,19683.0,,,,,4430.0,2024-11-07 14:35:50.384,15955.0,20749.0,349.0,1056.0,552.0
2024-11-08 07:30:00,350.0,388.0,07:15 - 07:30,,,6185.0,2024-11-08 06:30:00,6548.0,06:15 - 06:30,21900.0,,,2024-11-08,108.0,,15760.0,,,,,2024-11-07 15:35:50.384,1629.0,0.0,1065.0,,19683.0,,,,,4617.0,2024-11-07 14:35:50.384,15868.0,20749.0,349.0,1056.0,738.0
2024-11-08 07:45:00,563.0,400.0,07:30 - 07:45,,,6185.0,2024-11-08 06:45:00,6411.0,06:30 - 06:45,22050.0,,,2024-11-08,108.0,,15685.0,,,,,2024-11-07 15:35:50.384,1766.0,0.0,1065.0,,19683.0,,,,,4842.0,2024-11-07 14:35:50.384,15793.0,20749.0,349.0,1056.0,963.0
