period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-06 00:00:00,1500.0,2025-08-05,2025-08-05 22:00:00,2025-08-04 13:36:10.646,0.0,3219.0,0.0,16050.0,1712.0,2024-10-01 03:51:19.304000,0.0,4110.0,0.0,10936.0,9259.0,5079.0,9436.0,20234.0,7740.0,20195.0
00 - 01,2025-08-06 01:00:00,2095.0,2025-08-06,2025-08-05 23:00:00,2025-08-04 13:36:10.646,0.0,3510.0,26.0,14169.0,-87.0,2024-10-01 03:51:19.304000,0.0,4347.0,0.0,11706.0,8981.0,5276.0,9611.0,20914.0,7061.0,20686.0
01 - 02,2025-08-06 02:00:00,2010.0,2025-08-06,2025-08-06 00:00:00,2025-08-04 13:36:10.646,0.0,3757.0,0.0,13586.0,-65.0,2024-10-01 03:51:19.304000,0.0,4532.0,0.0,12478.0,8177.0,5474.0,10467.0,20925.0,7050.0,20655.0
02 - 03,2025-08-06 03:00:00,1964.0,2025-08-06,2025-08-06 01:00:00,2025-08-04 13:36:10.646,0.0,4008.0,0.0,13257.0,-65.0,2024-10-01 03:51:19.304000,0.0,4744.0,0.0,13027.0,7625.0,5697.0,11064.0,20925.0,7050.0,20653.0
03 - 04,2025-08-06 04:00:00,1962.0,2025-08-06,2025-08-06 02:00:00,2025-08-04 13:36:10.646,0.0,4187.0,0.0,13243.0,-65.0,2024-10-01 03:51:19.304000,0.0,4910.0,0.0,13216.0,7436.0,5871.0,11254.0,20925.0,7050.0,20653.0
04 - 05,2025-08-06 05:00:00,1965.0,2025-08-06,2025-08-06 03:00:00,2025-08-04 13:36:10.646,0.0,4311.0,0.0,13346.0,-87.0,2024-10-01 03:51:19.304000,0.0,5035.0,0.0,13216.0,7436.0,5996.0,11251.0,20925.0,7050.0,20653.0
05 - 06,2025-08-06 06:00:00,2007.0,2025-08-06,2025-08-06 04:00:00,2025-08-04 13:36:10.646,122.0,4331.0,34.0,13637.0,-109.0,2024-10-01 03:51:19.304000,0.0,5121.0,0.0,13216.0,7674.0,6072.0,11210.0,20925.0,7050.0,20891.0
06 - 07,2025-08-06 07:00:00,2273.0,2025-08-06,2025-08-06 05:00:00,2025-08-04 13:36:10.646,873.0,4148.0,923.0,14928.0,-109.0,2024-10-01 03:51:19.304000,0.0,5325.0,0.0,11219.0,8802.0,6235.0,8946.0,20944.0,7050.0,20021.0
07 - 08,2025-08-06 08:00:00,2491.0,2025-08-06,2025-08-06 06:00:00,2025-08-04 13:36:10.646,2674.0,3893.0,1763.0,15503.0,-87.0,2024-10-16 11:22:43.468000,0.0,5845.0,26315.0,10601.0,8835.0,6755.0,8110.0,21199.0,7050.0,19436.0
08 - 09,2025-08-06 09:00:00,2575.0,2025-08-06,2025-08-06 07:00:00,2025-08-04 13:36:10.646,4887.0,3976.0,1864.0,14884.0,-65.0,2024-10-16 11:22:43.468000,0.0,6828.0,26315.0,11912.0,7148.0,7800.0,9338.0,20925.0,7051.0,19061.0
