kse_pow_dem_diff,gen_wi_diff,gen_fv_diff,rez_over_demand_diff,rez_under_diff,timestamp
0.0,0.0,0.0,0.0,0.0,2025-07-19 00:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 00:30:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 00:45:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 01:00:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 01:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 01:30:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 01:45:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 02:00:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 02:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 02:30:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 02:45:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 03:00:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 03:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 03:30:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 03:45:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 04:00:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 04:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 04:30:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 04:45:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 05:00:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 05:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 05:30:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 05:45:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 06:00:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 06:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 06:30:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 06:45:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 07:00:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 07:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 07:30:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 07:45:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 08:00:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 08:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 08:30:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 08:45:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 09:00:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 09:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 09:30:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 09:45:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 10:00:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 10:15:00
0.0,0.0,0.0,0.0,0.0,2025-07-19 10:30:00
0.0,-72.0,304.0,0.0,0.0,2025-07-19 10:45:00
0.0,-61.0,319.0,0.0,0.0,2025-07-19 11:00:00
0.0,-93.0,419.0,0.0,0.0,2025-07-19 11:15:00
400.0,-89.0,422.0,0.0,0.0,2025-07-19 11:30:00
400.0,-168.0,398.0,0.0,0.0,2025-07-19 11:45:00
400.0,-159.0,372.0,0.0,0.0,2025-07-19 12:00:00
200.0,-151.0,168.0,0.0,0.0,2025-07-19 12:15:00
200.0,-50.0,159.0,0.0,0.0,2025-07-19 12:30:00
200.0,-44.0,148.0,0.0,0.0,2025-07-19 12:45:00
200.0,-38.0,138.0,0.0,0.0,2025-07-19 13:00:00
200.0,-33.0,137.0,0.0,0.0,2025-07-19 13:15:00
200.0,-30.0,131.0,0.0,0.0,2025-07-19 13:30:00
200.0,-27.0,110.0,0.0,0.0,2025-07-19 13:45:00
200.0,-23.0,109.0,0.0,0.0,2025-07-19 14:00:00
200.0,-21.0,109.0,0.0,0.0,2025-07-19 14:15:00
200.0,-19.0,95.0,0.0,0.0,2025-07-19 14:30:00
200.0,-18.0,80.0,0.0,0.0,2025-07-19 14:45:00
200.0,-15.0,63.0,0.0,0.0,2025-07-19 15:00:00
200.0,-15.0,311.0,0.0,0.0,2025-07-19 15:15:00
